qid,label,description,instance_of,instance_of_label,part_of,part_of_label,subclass_of,subclass_of_label
Q64814347,emerging media,"Academic discipline - combines media production, innovative research and experimental practices",Q11862829,,,,,
Q5374252,empirical psychology,"the study of the human mind by means of observation and experiment, rather than by deduction from general principles",Q60680430,,,,Q9418,
Q1346207,encyclopaedistics,"academic scholarship of encyclopedias, branch of bibliology",Q11862829,,Q2901245,,,
Q162606,endocrinology,medical specialty; branch of science concerned with the study of hormones,Q28598684,,,,Q113129019,
Q24963174,energy and environmental engineering,,Q11862829,,,,,
Q25584060,energy development,methods of energy production from various sources,Q11862829,,,,Q77590,
Q19597073,energy informatics,field of research,Q11862829,,Q43035,,,
Q1341277,energy research,field of study,Q11862829,,,,Q42240,
Q11023,engineering,type of applied science,Q114948502,,Q1881523,,Q28797,
Q108375738,engineering,field of study at university/college/institute/academy,Q11862829,,,,,
Q3234664,engineering economics,subset of economics,Q11862829,,,,,
Q106134426,engineering electronics,,Q11862829,,Q11650,,,
Q130798465,engineering geophysics,,Q11862829,,,,Q413,
Q2235851,engineering mathematics,branch of applied mathematics,Q1936384,,,,Q33521,
Q103450003,engineering operations,,Q11862829,,,,,
Q113210443,engineering practice,field of research,Q11862829,,Q113210442,,Q6500754,
Q113210442,engineering practice and education,field of research,Q11862829,,,,Q11023,
Q24962856,engineering studies,academic field,Q11862829,,,,,
Q1048431,enterprise architecture,area of expertise on the interaction of a company's business strategy and its ability to deliver it,Q11862829,,,,Q846636,
Q64687285,enterprise computing,Academic discipline - use and manage information technology and systems to improve and re-design the way organisations do business.,Q11862829,,,,,
Q4530398,enterprise economy,,Q11862829,,,,Q8134,
Q66086501,enterprise informatics,science that deals with development and application of information and communication systems in business enterprises,Q11862829,,,,,
Q17012245,entity linking,the task of assigning a unique identity to entities mentioned in text,Q11862829,,,,Q1649725,
Q120969779,entity matching,area of research,Q11862829,,,,,
Q39286,entomology,scientific study of insects,Q99397804,,Q3520855,,Q3520855,
Q3908516,entrepreneurship,creation or extraction of economic value,Q29028649,,,,Q8187769,
Q113141555,environment and climate finance,field of research,Q11862829,,,,Q113141571,
Q64819271,environmental and food economics,Academic discipline of environmental and food economics,Q11862829,,,,,
Q55586156,environmental and natural resources,,Q11862829,,,,,
Q5381194,environmental anthropology,sub-discipline of anthropology around the study of complex relationships between humans and the environments which they inhabit,Q106720965,,,,Q23404,
Q112939514,environmental assessment and monitoring,field of research,Q11862829,,,,,
Q64809263,environmental change and global sustainability,,Q11862829,,,,,
Q2020035,environmental criminology,branch of criminology focusing on (often social) environmental explanations of criminal behavior,Q11862829,,,,Q161733,
Q114436249,environmental design,design of built environments,Q11862829,,,,Q82604,
Q16000091,environmental design,"process of addressing surrounding environmental parameters when devising plans, programs, policies, buildings, or products",Q11862829,,Q5381210,,,
Q65273678,environmental ecology,ecology of natural environments,Q11862829,,,,,
Q948732,environmental education,branch of pedagogy,Q11862829,,,,Q2353731,
Q146326,environmental engineering,professional engineering discipline related to environmental science,Q12015335,,,,Q136580777,
Q59687311,environmental engineering and science,the field of study focusing on human interaction with the environment and exercise of engineering principles to improve the relationship between them,Q11862829,,,,Q188847,
Q5381223,environmental epidemiology,science concerned with environmental exposure impacts on human health,Q135937959,,,,Q5381367,
Q18235183,environmental fluid mechanics,scientific and academic discipline,Q11862829,,,,Q172145,
Q111315052,environmental geography,,Q19935939,,,,Q1071,
Q130798472,environmental geophysics,,Q11862829,,,,Q413,
Q64822409,environmental geoscience,academic discipline,Q11862829,,Q113098245,,,
Q932068,environmental health,public health branch focused on environmental impacts on human health,Q11862829,,,,Q189603,
Q113827235,environmental health sciences,subdiscipline within health sciences,Q11862829,,,,Q843601,
Q1561862,environmental history,specialisation of history,Q17524420,,,,Q309,
Q5333239,environmental humanities,interdisciplinary field addressing environmental issues,Q11862829,,,,Q80083,
Q4591707,environmental informatics,information science applied to environmental science,Q11862829,,,,,
Q328798,environmental law,"rules of law, promoting the protection of the natural environment",Q11862829,,,,Q110590221,
Q135424760,environmental management,field of study or academic discipline,Q11862829,,,,Q2920921,
Q11902944,environmental planning,process of decision making to carry out land development with the consideration given to the natural environment,Q11862829,,,,Q149013,
Q919526,environmental policy,totality of the government efforts to promoting the protection of the natural environment,Q96251375,,Q7163,,Q110590221,
Q832237,environmental protection,"practice of protecting the natural environment by individuals, organizations and governments",Q11862829,,Q1979837,,Q2251595,
Q929380,environmental resource management,management of human interaction with the environment,Q11862829,,,,Q65246763,
Q188847,environmental science,interdisciplinary field that studies human interaction with the environment,Q11862829,,,,Q8008,
Q64689264,environmental science and technology,"Academic discipline - the environment, the technologies used for its analysis, and how it is impacted by our activities from a scientific perspective",Q11862829,,,,,
Q5381358,environmental social science,interaction of humans with the environment,Q11862829,,,,,
Q5381367,environmental studies,multidisciplinary academic field which systematically studies human interaction with the environment in the interests of solving complex problems,Q11862829,,,,Q1071,
Q64942987,environomical pathways for sustainable energy systems,,Q11862829,,,,,
Q2880775,enzymology,study of enzymes,Q11862829,,Q7202,,Q7094,
Q4115091,epizootiology,study of disease patterns within animal populations,Q135937959,,,,Q110245063,
Q1750812,ergonomics,study of designing equipment and devices that fit the human body and its cognitive abilities,Q11862829,,,,Q11023,
Q362327,erotetics,logic of questions and answers,Q11862829,,,,Q8078,
Q104775885,estuarine ecology,ecology of estuaries,Q104193250,,Q112939592,,Q104780697,
Q9465,ethics,"branch of philosophy that systematizes, defends, and recommends concepts of right and wrong conduct",Q22811234,,,,Q5891,
Q5403493,ethics of technology,concepts of right & wrong conduct concerning technē & technological developments,Q11862829,,,,Q9465,
Q4533017,ethnic anthropology,"field within ethnology for the study of ethnic groups and their cultures, social structures, heritages and identities",Q106720965,,,,Q43455,
Q41870,ethnic studies,academic field focused on ethnic communities and their culture,Q11862829,,,,Q1143546,
Q841408,ethnobotany,science of the study of plants in relation to their use by humans,Q11862829,,Q43455,,Q43455,
Q5404352,ethnodoxology,,Q11862829,,,,Q208365,
Q1371429,ethnoecology,academic study of how cultures understand their environments,Q11862829,,,,Q108352346,
Q132151,ethnography,qualitative research design aimed at exploring cultural phenomena,Q11862829,,,,Q34749,
Q2181985,ethnohistory,academic discipline studying human cultures and indigenous peoples' customs by examining historical records,Q81517619,,,,Q1066186,
Q853085,ethnolinguistics,academic discipline,Q11862829,,,,Q28598,
Q43455,ethnology,academic discipline,Q106720965,,,,Q1143546,
Q1601482,ethnology of religion,field of anthropology,Q11862829,,Q43455,,,
Q1371415,ethnopharmacology,academic discipline,Q28598684,,,,Q1418791,
Q26237583,ethnopolitics,academic discipline,Q11862829,,Q15831440,,,
Q12572036,ethnopsychology,the psychology of races and peoples,Q60680430,,,,Q9418,
Q5404396,ethnopsychopharmacology,,Q11862829,,,,,
Q7155,ethology,scientific study of animal behavior,Q99397804,,,,Q475042,
Q208365,etnomusicology,"study of music emphasizing cultural, social, material, cognitive, biological, and other dimensions",Q11862829,,Q164204,,Q164204,
Q1371704,etruscology,"study of ancient Etruscan civilization, antiquities, language, etc.",Q11862829,,,,Q23498,
Q64943062,"european mining, minerals and environmental program",,Q11862829,,,,,
Q5418329,evidence-based management,an emerging movement which promotes managerial decisions and organizational practices informed by the best available evidence,Q96247293,,,,Q2920921,
Q840400,evolutionary biology,study of the processes that produced the diversity of life,Q28598684,,,,Q5333289,
Q133806408,evolutionary cell biology,discipline of cell biology and evolutionary biology,Q28598684,,,,Q840400,
Q1382557,evolutionary ecology,study of how interactions among species and between species and their environment affect species through selection and adaptation,Q104193250,,,,Q840400,
Q2313085,evolutionary linguistics,sociobiological approaches to linguistics,Q11862829,,Q8162,,,
Q219695,evolutionary psychology,branch of psychology,Q11862829,,,,Q11640129,
Q113207671,excited state chemistry,chemical study of excited states,Q11862829,,,,Q11372,
Q55714018,exercise science and coaching,,Q11862829,,,,,
Q128507011,existential risk studies,field of studies focused on the theorization of existential risks,Q11862829,,,,Q1531622,
Q3809431,exoplanetology,integrated field of astronomical science,Q131565179,,,,Q125975922,
Q1384130,exopolitics,school of thought that assumes the existence of extraterrestrial life on Earth,Q11862829,,,,,
Q115255855,exotic animal medicine,subdiscipline of veterinary medicine: treatment of exotic animals,Q110527678,,,,Q170201,
Q3508531,experience design,"practice of designing products, processes, services, events, and environments with a focus placed on the quality of the user experience and culturally relevant solutions.",Q11862829,,,,Q82604,
Q130262075,experimental meteorology,branch of meteorology,Q11862829,,,,Q25261,
Q60740628,experimental petrology,academic discipline,Q11862829,,,,Q163082,
Q4530574,experimental phonetics,branch of phonetics,Q11862829,,Q5769081,,,
Q18366,experimental physics,category of disciplines and sub-disciplines concerned with the observation of physical phenomena,Q11862829,,Q413,,Q5769081,
Q40890078,explainable AI,AI whose processes can be understood by humans,Q11862829,,,,Q11660,
Q7958,explanation,set of statements constructed to describe reasons why such as for facts,Q11862829,,,,Q628523,
Q113095682,exploration geochemistry,field of research,Q11862829,,,,Q161764,
Q1202243,exploration geophysics,applied branch of geophysics and economic geology,Q11862829,,Q52107,,Q853915,
Q502038,extragalactic astronomy,astronomy dealing with objects outside the Milky Way,Q131565179,,,,Q333,
Q970687,eye tracking,measuring the point of gaze or motion of an eye relative to the head,Q122367949,,,,Q106518118,
Q1519370,faceted search,method of information retrieval by filtering on multiple properties in a data set,Q11862829,,,,Q816826,
Q3050818,fairyology,"study of elves, fairies and other similar beings",Q11862829,,,,Q132116,
Q7884093,family and consumer science,field of study that deals with the economics and management of the home and community,Q11862829,,Q425694,,Q1047113,
Q113192647,family and household demography,field of research,Q11862829,,,,Q37732,
Q19977687,family counseling,,Q11862829,,,,Q4390239,
Q119003958,family demography,demographical studies on families,Q11862829,,,,Q117742678,
Q623006,family economics,application of economic concepts to the study of the family,Q11862829,,,,Q117742678,
Q870449,family therapy,type of psychotherapy,Q130699387,,,,Q3505712,
Q28793139,fan studies,"the study of fandom, fan works and their related communities",Q11862829,,Q1143546,,,
Q1407914,farm management,academic discipline,Q11862829,,,,,
Q29583,fashion design,art of the application of design and aesthetics to clothing and accessories,Q11862829,,Q97338598,,Q82604,
Q28401159,fashion merchandising,art genre,Q11862829,,,,,
Q27979858,fashion theory,theory and academic discipline,Q11862829,,,,,
Q73927923,fecal anthropology,,Q11862829,,,,Q23404,
Q105160122,federated SPARQL query,query that is distributed over different SPARQL endpoints combining them to produce a result,Q11862829,,,,Q105159989,
Q107556837,feeding ecology,ecology of feeding,Q104193250,,,,Q10900987,
Q110402826,female status,field of research,Q11862829,,,,Q99547709,
Q5442878,feminist anthropology,subdiscipline of anthropology,Q106720965,,,,Q23404,
Q136723712,feminist linguistics,,Q135892289,,,,Q8162,
Q104780304,fen ecology,ecology of fens,Q104193250,,,,Q104373908,
Q64853839,fibre and polymer engineering,,Q11862829,,,,,
Q4994861,fiction writing,,Q11862829,,,,Q586060,
Q113161523,field robotics,field of research dealing with robotics in unstructured and dynamic environments,Q11862829,,,,Q113104535,
Q2114318,figurational theory,,Q11862829,,,,Q119007932,
Q116845672,film composition,subdiscipline of music composition,Q11862829,,,,Q105107008,
Q12765827,film direction,the act of directing a film,Q62302889,,Q932586,,Q2137554,
Q237893,film editing,creative and technical post-production processing of film,Q11862829,,,,Q627436,
Q64807634,film recording,academic discipline,Q11862829,,,,Q13557414,
Q1660187,film studies,"academic discipline that deals with various theoretical, historical, and critical approaches to films",Q11862829,,,,Q165650,
Q28793,film theory,"academic discipline studying film's relationship to reality, the arts, viewers & society",Q11862829,,Q1660187,,Q1660187,
Q43015,finance,"academic discipline studying businesses, financing, investments and protection of economic value",Q11862829,,,,Q113141571,
Q24067399,finance science,academic discipline,Q11862829,,,,Q336,
Q12238348,financial and banking science,academic discipline,Q11862829,,,,Q24067399,
Q2294553,financial economics,branch of economics concerned with financial or monetary transactions,Q11862829,,Q8134,,Q268592,
Q4738155,financial management,management of money in such a manner as to accomplish the objectives of the organization,Q96247293,,Q2043282,,Q852740,
Q2120150,financial planning,planning for how a business or individual can achieve their goals,Q11862829,,Q274490,,Q309100,
Q484181,fiqh,"a process by means of which jurists derive sets of guidelines, rules and regulations from the rulings laid down in the Qur'an",Q11862829,,,,Q11022655,
Q1409472,fire ecology,scientific discipline concerned with natural processes involving fire in an ecosystem and the ecological effects,Q104193250,,,,Q113114755,
Q567716,fire protection engineering,"application of science and engineering principles to protect people, property, and their environments from the harmful and destructive effects of fire and smoke",Q11862829,,,,Q11023,
Q111366250,fire protection management,academic discipline,Q11862829,,Q29017603,,,
Q110308923,fire safety design,field of research,Q11862829,,,,Q5264373,
Q107556817,fish ecology,ecology of fishes and their species,Q104193250,,,,Q73403730,
Q109276098,fish genetics,study of the genetics of fish,Q11862829,,,,Q110310405,
Q122935277,fish pathology,study of diseases affecting fishes,Q11862829,,,,Q7208,
Q5454658,fish physiology,scientific study of the physiology of fish,Q11862829,,,,Q2432331,
Q110297482,fish physiology and genetics,field of research,Q11862829,,,,Q110310405,
Q17013672,fish reproduction,reproductive physiology of fishes,Q11862829,,,,Q5454658,
Q8248157,fisheries biology,study of the biological aspects of fisheries,Q28598684,,,,Q1772875,
Q5454893,fisheries management,regulation of fishing,Q96247293,,,,Q5283295,
Q1420050,fisheries science,science of managing and understanding fisheries,Q11862829,,,,Q110231626,
Q104780425,fjord ecology,ecology of fjords,Q104193250,,,,Q104200509,
Q2518760,flamencology,academic discipline; the study of flamenco,Q11862829,,,,Q164204,
Q5458994,flexible solar cell research,field of research,Q11862829,,,,,
Q104780569,floodplain ecology,ecology of floodplains,Q104193250,,,,Q104780631,
Q30594891,floral biology,area of biological and ecological research,Q11862829,,,,Q441,
Q107708708,flower morphology,morphology of flowers,Q11862829,,,,Q655362,
Q172145,fluid mechanics,"branch of physics concerned with the mechanics of fluids (liquids, gases, and plasmas) and the forces on them; branch of continuum mechanics",Q137582043,,Q113210559,,Q193463,
Q113210559,fluid mechanics and thermal engineering,field of research,Q120970651,,,,Q11023,
Q106148879,flute performance,performance of music on the flute,Q11862829,,,,Q6942562,
Q65235465,fluvial geomorphology,,Q11862829,,,,Q20638505,
Q132116,folkloristics,branch of anthropology devoted to the study of folklore,Q106720965,,,,Q28598,
Q115158945,folktale study,,Q11862829,,,,,
Q123518019,food and nutritional science,study of food nutrients,Q11862829,,Q425694,,Q110231626,
Q64816594,food chain and health,Academic discipline of food chain and health,Q11862829,,,,,
Q6631525,food engineering,"field of applied physical sciences which combines science, microbiology, and engineering education for food and related industries",Q11862829,,,,Q11023,
Q65292971,food environmental science,academic discipline,Q11862829,,,,,
Q136800541,food hygiene and safety science,study of food hygiene and safety,Q11862829,,,,Q136800559,
Q1810993,food microbiology,"study of the microorganisms that inhibit, create, or contaminate food",Q11862829,,,,Q3536001,
Q10566261,food nutrition research,field of research including characteristics and health benefits of food,Q11862829,,,,Q113129166,
Q110542363,food nutritional balance,field of research,Q11862829,,,,Q17652193,
Q627371,food processing,"transformation of raw ingredients into food, or of food into other forms",Q11862829,,Q5465532,,Q130751223,
Q909821,food safety,"scientific discipline describing handling, preparation, and storage of food in ways that prevent foodborne illness",Q11862829,,,,Q119710413,
Q1637030,food science,applied science devoted to the study of food,Q11862829,,Q123518019,,Q123518019,
Q65292961,food science department,,Q11862829,,,,,
Q3232953,food studies,"critical examination of food and its contexts within science, art, history, society, and other fields",Q11862829,,,,,
Q1039642,food technology,academic discipline regarding the healthy preparation of foods,Q112057532,,,,Q1637030,
Q65292953,foods and nutritional sciences department,,Q11862829,,,,,
Q134831871,football economics,aspect of sports economics,Q11862829,,Q5817289,,,
Q104486725,foreign area studies,,Q11862829,,,,,
Q123563189,foreign language research,field of research,Q11862829,,,,Q8162,
Q102301676,foreign missions,,Q11862829,,,,,
Q5468430,foreign policy analysis,branch of political science,Q11862829,,,,Q2101508,
Q610018,foreign relations,politics at the intergovernmental level,Q11862829,,,,Q1762091,
Q2696615,foreign-language pedagogy,field of research,Q11862829,,Q520855,,Q123563189,
Q28065,forensic anthropology,application of the science of anthropology in a legal setting,Q106720965,,,,Q495304,
Q1328688,forensic biology,forensic application of the study of biology,Q28598684,,,,Q495304,
Q25344799,forensic epidemiology,,Q11862829,,,,Q454812,
Q108570409,forensic forestry,subfield within forensic sciences,Q11862829,,,,Q495304,
Q116874529,forensic microbiology,"scientific discipline analyzing evidence from bioterrorism, biocrime, hoax or inadvertent microorganism/toxin release for attribution purposes",Q11862829,,,,Q495304,
Q5468718,forensic osteology,,Q11862829,,,,Q819121,
Q105459634,forensic proteomics,,Q11862829,,,,Q60740595,
Q495304,forensic science,application of science to criminal and civil laws,Q11862829,,,,Q336,
Q105427882,forest canopy ecology,ecology of forest canopies,Q104193250,,,,Q2249329,
Q2249329,forest ecology,scientific study and subfield of ecology around forest ecosystems,Q104193250,,,,Q19924411,
Q105552831,forest hydrology,field within hydrology,Q11862829,,,,Q19924411,
Q372561,forest management,branch of forestry,Q11862829,,Q38112,,Q29017603,
Q3333928,forest meteorology,"the study and applications of weather and climate data to the reproduction, growth, and harvesting of forests",Q130304502,,,,,
Q38112,forestry,"science and craft of creating, managing, using, conserving and repairing forests, woodlands, and associated resources for human and environmental benefits",Q11862829,,Q1801887,,Q1801887,
Q110297702,forestry fire management,"field of research; prevention, management and control of forest fires",Q11862829,,,,Q19924411,
Q19924411,forestry science,academic discipline,Q11862829,,,,Q110231626,
Q3984091,formal language theory,"field of mathematical logic, theoretical linguistics, and theoretical computer science",Q11862829,,Q2878974,,,
Q1003009,formal logic,"study of propositions, statements, and deductive arguments; practice of deriving conclusions from premises",Q11862829,,,,Q8078,
Q112815132,format migration,the practice of converting an electronic file to a different standard file type to circumvent obsolescence,Q123759964,,,,,
Q324326,fortification,branch of military science,Q11862829,,Q192386,,Q192386,
Q11888449,foundation engineering,academic discipline and occupational field,Q12015335,,Q2674423,,,
Q120969775,foundational ontology,area of research,Q11862829,,,,,
Q957852,fracture mechanics,field of mechanics concerned with the study of the propagation of cracks in materials,Q137582043,,,,Q1710723,
Q30708491,fragmentology,study of manuscript fragments,Q11862829,,Q1338164,,,
Q3082422,francology,"academic discipline of France or francophone countries, and their history, culture and society",Q11862829,,,,Q1143546,
Q3306816,freshwater biology,scientific study of freshwater ecosystems and biology,Q28598684,,,,Q5728861,
Q20417087,freshwater ecology,"study of freshwater ecosystems that thrive in habitats, mainly lakes, rivers and streams",Q104193250,,,,Q104196941,
Q2860615,freshwater underwater archaeology,archaeology of freshwater underwater sites,Q11862829,,,,Q765822,
Q64811474,front office operations,,Q11862829,,,,,
Q64853847,function materials,,Q11862829,,,,,
Q20612038,functional biochemistry,scientific discipline,Q28598684,,,,Q7094,
Q5508816,functional ecology,branch of ecology,Q104193250,,,,Q7150,
Q1068690,functional genomics,field of molecular biology,Q11862829,,,,Q222046,
Q113114739,functional materials research,field of research,Q11862829,,,,Q228736,
Q130453901,functional morphology,the study of relationships between the structure of an organism and the function of the various parts of an organism,Q28598684,,,,Q183252,
Q3839507,functional programming language,programming language that uses functional programming principles,Q116481801,,,,Q9143,
Q1004343,fundamental theology,academic discipline,Q11862829,,Q1367940,,Q1367940,
Q107388727,funerary archaeology,Branch of archaeology,Q11862829,,,,Q23498,
Q104825374,fungal ecology,ecology of fungi,Q104193250,,,,Q7150,
Q111679581,fungal physiology,study of the physiology of fungi,Q11862829,,,,Q7175,
Q4455138,fuzzy measure theory,theory of generalized measures in which the additive property is replaced by the weaker property of monotonicity,Q11862829,,,,,
Q104783369,fynbos ecology,ecology of fynbos,Q104193250,,,,Q104783371,
Q105590653,gain of function research,field of bio-medical research,Q11862829,,,,Q69953209,
Q58908,galactic astronomy,study of the Milky Way galaxy and its contents,Q131565179,,Q333,,Q333,
Q1995140,galaxy formation and evolution,area of study in astrophysics,Q11862829,,,,Q37547,
Q1144718,gas kinetics,study of the motion of gases,Q11862829,,,,Q95326007,
Q171141,gastronomy,study and art of food preparation,Q56055944,,,,Q1495452,
Q5530957,gender and crime,sex differences,Q11862829,,,,Q161733,
Q135682154,gender literacy,,Q11862829,,,,Q8236,
Q11830699,gender psychology,branch of psychology,Q11862829,,,,Q9418,
Q1662673,gender studies,interdisciplinary academic field devoted to analysing gender identity and gendered representation,Q11862829,,Q1143546,,Q1143546,
Q118152682,gender theory,theory about gender identity and gendered representation,Q11862829,,,,Q17737,
Q64869236,"gender, culture and society",,Q11862829,,,,,
Q113126644,"gender, policy and administration",field of research,Q11862829,,,,Q113125740,
Q11860338,gene research,,Q11862829,,,,,
Q64869170,general and adult education,,Q11862829,,,,,
Q12041895,general biology,academic major / field of study; often describes study of biology at the undergraduate level,Q11862829,,,,Q420,
Q10660901,general economics,examines correlations in the production and distribution of goods and factors of production,Q11862829,,,,Q8134,
Q16682237,general education,non-vocational and non-special education,Q108161738,,,,Q8434,
Q64814350,general health care practice,Academic discipline - area related educational framework for nurses and other healthcare practitioners. Improving the quality of healthcare practice in the healthcare system,Q11862829,,,,,
Q14357850,general linguistics,field in linguistics that focuses on the general rules of language,Q11862829,,,,Q8162,
Q64814351,general nursing practice,Academic discipline - area related educational framework for nurses and other healthcare practitioners. Improving the quality of healthcare practice in the healthcare system,Q11862829,,,,,
Q1501661,general studies,academic discipline,Q11862829,,,,,
Q1124169,genetic counseling,advising those affected by or at risk of genetic disorders,Q11862829,,,,Q4390239,
Q5532897,genetic epidemiology,study of the role of genetic factors in determining health and disease,Q135937959,,,,Q133805,
Q4785363,genetic history of the Middle East,DNA study of the Middle East inhabitants,Q74817647,,Q5256114,,Q112073441,
Q69953209,genetic research,"field of study covering the cause, transmission, amelioration, elimination, or enhancement of inherited disorders and traits",Q11862829,,Q7162,,Q30032115,
Q3592613,genetic studies of Jews,DNA analysis of Jewish populations,Q11862829,,Q108823107,,Q112073441,
Q3656734,genetic studies of Turkic peoples,DNA analysis of Turkish populations,Q11862829,,Q4785363,,,
Q1503477,genetically modified crops,"plants used in agriculture, the DNA of which has been modified using genetic engineering techniques",Q11862829,,,,Q18340432,
Q7162,genetics,"science of genes, heredity, and variation in living organisms",Q28598684,,Q420,,Q420,
Q64689297,genetics and cell biology,"Academic discipline - creation of medical diagnostics, therapies and therapeutics",Q11862829,,,,,
Q64808981,genetics and molecular biosciences,,Q11862829,,,,,
Q3508604,genology,branch of literary theory that is concerned with the study of artistic genres,Q11862829,,Q5533546,,,
Q96379173,genome informatics,study of information processing and flow in genomes,Q4671286,,,,Q222046,
Q113042868,genome structure and regulation,field of research,Q11862829,,,,Q7162,
Q222046,genomics,interdisciplinary field of biology,Q28598684,,Q112939581,,Q177005,
Q5533546,genre studies,"in genre theory, comparative and critic studies of the classification of creative genres (musical, literary, artistic, linguistic, or rhetorical)",Q4671286,,Q86619995,,,
Q86619995,genre theory,"systematic study of the nature of creative genres (litterary, musical, artistic, or rhetorical)",Q11862829,,Q208217,,,
Q65256497,geo-engineering department,,Q11862829,,,,,
Q1456948,geobotany,science that studies the geographic space's influence on plants,Q17002728,,Q1387972,,Q441,
Q161764,geochemistry,science that applies chemistry to geological systems,Q11862829,,,,Q8008,
Q213891,geochronology,"science of determining the age of rocks, sediments and fossils",Q87058424,,Q1069,,Q130788,
Q5533896,geocomputation,academic discipline,Q11862829,,,,Q12525525,
Q5533986,geodesign,set of geospatial design concepts and methods,Q4671286,,Q1734563,,,
Q131089,geodesy,"science of the geometric shape, orientation in space, and gravitational field of Earth",Q11862829,,Q8008,,Q8008,
Q13419632,geodetic engineering,subdiscipline of applied geodesy,Q11862829,,,,Q1694247,
Q1265151,geoecology,academic discipline around the studies of geography and ecology,Q104193250,,,,Q7150,
Q2469844,geoeconomics,"study of the interrelations of economics, geography and politics",Q11862829,,,,Q159385,
Q3537694,geographic information science,"scientific discipline that studies the techniques to capture, represent, process, and analyze geographic information",Q11862829,,,,Q124468378,
Q483130,geographic information system,spatial data information systems,Q11862829,,,,Q2695280,
Q124623991,geographic media,facet of geography in context of media,Q11862829,,Q1071,,Q1503262,
Q1071,geography,"science that studies the terrestrial surface, the societies that inhabit it and the territories, landscapes, places or regions that form it when interacting with each other",Q11862829,,,,Q336,
Q47452440,geography and history,academic discipline,Q11862829,,,,,
Q11424632,geography education,teaching methodology and school subject,Q11862829,,,,Q8434,
Q115690351,geography of anarchism,,Q11862829,,,,Q1071,
Q3123464,geohistory,,Q11862829,,,,Q1071,
Q918779,geoinformatics,"application of information science methods in geography, cartography, and geosciences",Q81752537,,Q619798,,Q124468378,
Q124623841,geoinformation analysis,type of spatial analysis,Q11862829,,,,Q121775330,
Q124468378,geoinformation science,scientific discipline about geoinformation; for GIS Science use Q124624042,Q11862829,,,,Q64811452,
Q124504922,geoinformation technology,Field of work with geoinformation technically,Q11862829,,,,Q124468378,
Q9707696,geological engineering,"a discipline of engineering concerned with the application of geological science and engineering principles to fields, such as civil engineering, mining, environmental engineering, and forestry, among others",Q11862829,,Q106387954,,Q9347372,
Q1069,geology,"study of the composition, structure, physical properties, and history of Earth's components, and the processes by which they are shaped",Q11862829,,,,Q8008,
Q55693914,geology and exploration of mineral and energy resources - gemer,Geology and Exploration of Mineral and Energy Resources - GEMER,Q11862829,,,,,
Q64808978,geology and geophysics,,Q11862829,,,,,
Q2466,geology of Mars,"scientific study of the surface, crust, and interior of the planet Mars",Q11862829,,Q104499,,Q126733835,
Q1648514,geology of the Moon,structure and composition of the Moon,Q87058424,,,,Q126181255,
Q619798,geomatics,"academic discipline as a merge from geodesy and geoinformatics. geomatics is concerned with the collection, distribution, storage, analysis, processing, presentation of geographic data or geographic information",Q11862829,,,,Q1870019,
Q3123503,geomatics business,discipline that studies the use of technology geomatics in the business world,Q11862829,,,,Q619798,
Q2670285,geomechanics,scientific branch in geology and mechanics; study of the motion of soil and rock,Q137582043,,,,Q46255,
Q124623997,geomedia technology,subclass of technology in context of geomedia,Q11862829,,,,Q11016,
Q3526918,geometric measure theory,"study of geometric properties of sets through measure theory, extending differential geometry to not necessarily smooth sets",Q11862829,,Q15614122,,,
Q135526571,geomonitoring,geomonitoring - a process of using technology to observe and measure changes in the Earth's surface and subsurface,Q11862829,,,,Q2143522,
Q52109,geomorphology,scientific study of landforms and the processes that shape them,Q87058424,,Q113098300,,Q52107,
Q113098300,geomorphology and regolith and landscape evolution,field of research,Q11862829,,,,,
Q46255,geophysics,"study of physical processes and phenomena occurring in the Earth and in its vicinity, and of their characteristics",Q11862829,,Q8008,,Q104499,
Q3123544,geophysiology,"the geological, chemical, and other processes of the Earth regarded as interdependent and analogous to the physiological processes of a living organism",Q11862829,,,,Q8008,
Q3718726,geopolitical economy,academic discipline,Q11862829,,Q5128296,,Q271857,
Q159385,geopolitics,study of the effects of human and physical geography on international politics and relations,Q11862829,,Q191320,,Q166542,
Q121775330,geospatial analysis,type of spatial analysis,Q11862829,,,,Q1938983,
Q137045724,geospatial analytics,type of analytics in geospatial,Q11862829,,,,Q485396,
Q137047124,geospatial data analysis,type of spatial data analysis,Q11862829,,,,Q121775330,
Q137047508,geospatial data analytics,type of data analytics in geospatial data science,Q11862829,,,,Q137045724,
Q124635458,geospatial education,type of education in geospatial,Q11862829,,,,Q8434,
Q5548545,geospatial engineering,"discipline concerned with the collection, distribution, storage, analysis, processing, presentation of geographic data or geographic information",Q11862829,,Q64811452,,Q1986550,
Q124471792,geospatial information science,scientific subdiscipline about geospatial information,Q11862829,,,,Q137918437,
Q64811452,geospatial science,scientific discipline about geospatial,Q11862829,,,,Q1071,
Q124634732,geospatial technology,subclass of technology in the field of geospatial,Q11862829,,,,Q11016,
Q1991280,geostrategy,type of foreign policy guided principally by geographical factors,Q11862829,,,,Q159385,
Q132251395,geotechnology,the use of engineering techniques and scientific methods to exploit and utilize natural resources,Q11862829,,,,Q11016,
Q2405851,geriatric dentistry,"delivery of dental care to older adults involving diagnosis, prevention, management and treatment of problems associated with age related diseases",Q11862829,,,,Q12128,
Q10384,geriatrics,specialty that focuses on health care of elderly people,Q11862829,,,,Q2518253,
