qid,P214,P213,P244,P2163,P227,P268,P349,P648,P1711,P245,P4212,P9106,P11252,P7041,P535,P1149
Q443505,10236265,,,,102394253,,,,,,pcrtdpmBy9R6Z0,,,,,
Q443983,34844123,0000000003258315,nr95029645,1842017,102404259,,,,177600,,,5281,4141,1174,,
Q441490,,,,,,,,,175254,,,,,,,
Q4269982,,,,,,,,,,,pcrtgdNVj8V6zw,,,,,
Q4269998,,,,,,,,,174605,,,,,,,
Q4281777,285470651,0000000049529547,nr95022625,,102383634,,,,,,,1262,4894,,,
Q4310004,62330592,0000000066781402,no2007118620,,117590991,,,OL2516009A,,,,,,,,
Q4361720,57746574,0000000118765683,n88271336,,131484664,105739689,,,,,,,,,,
Q4402033,83886389,0000000056739462,no2019101057,,1156615623,,,,,,,,,,,
Q4416739,,,,,118757814,,,,,,,,,,,
Q4534510,311344823,0000000082752513,,,117659711,,,OL2389386A,,,,,,,,
Q40792621,8581155708707522580003,,,,1185209433,,,,176891,,,,,,,
Q41759321,10589058,0000000109540132,nr88003323,,116103906,,,OL2567463A,,,,,,,,
Q42,113230702,0000000080456315,n80076765,1775523,119033364,11888092r,00430962,OL272947A,,,,,,,22814,PR6051.D3352
Q37151,9817407,0000000453836557,n80067475,1849767,118841386,12069846c,00624967,OL30553A,,,,,,,,
Q37278,100900297,0000000120315884,n78078346,27470,118558056,11908856m,,OL132096A,83757,500355745,,,,,2378,
Q38484,85368541,0000000121420782,n80097599,58498,119334860,12542078j,,OL86176A,,,,,,,,
Q42323,88598915,0000000457281210,n50044410,15296,118594745,11919956b,00525192,OL5974939A,42171,500356467,,,,,7840303,
Q365840,118148995807159751080,,n86058984,193297,1179111524,,,,174627,,,1311,,,,
Q366104,8952068,0000000106763824,n88261793,,142809543,,,OL855866A,,,,,,,125339877,
Q366203,525150323816909972229,,,,,,,,,,,1858,,,,
Q367828,,,,,,,,,,,,1626,,,,
Q368219,27151776794218012025,0000000354381614,nr94030462,1855861,118626671,,,,188600,,pcrt9o0gwLbtGV,6743,,,,
Q370603,,,,,,,,,,,,6291,,,,
Q372100,315524563,0000000010683344,nr95021134,357262,118520849,,,OL7617408A,,,,3003,4915,370,,
Q374579,50151776756218011696,,,,,14956047d,,,,,,,,,,
Q374630,289273464,,,,1014766508,,,,204694,,,7101,,,,
Q375849,,,,,,,,,,,,119,,,,
Q378407,,,,,,,,,,,,3969,,,,
Q382280,5032155708720522580005,,,,1185205071,,,,177500,,,3697,,,,
Q382898,48149106236968491946,,nb2011032333,1911523,1147225486,,,,137889,,,,,,,
Q382948,2161935437639672110,,,,1189462397,,,,,,,1963,,,,
Q383846,5151533654202770362,0000000498730262,n2017076214,,,,,,177980,,,2278,,,,
Q385238,453155598029815600004,,,,1183966059,,,,177498,,,1422,,,,
Q386129,1331155832959933490009,,,,1186416149,,,,177400,,,,,,,
Q386618,,,,,,,,,,,,1216,,,,
Q387928,12693893,0000000049835106,nr95026801,1832842,102398348,,,,,,,3950,5025,,,
Q392647,,,,,,,,,,,,5863,,,,
Q396971,20477102,,nr91022293,1959301,118819607,119494766,,,,,pcrtD5ewB7sjvK,4107,,,,
Q431201,5010155832967633490007,,,,1186416882,,,,,,,,,,,
Q431311,,,,,,,,,,,,2808,,,,
Q431423,8069155919338539730002,,,,1187002895,,,,177565,,,6792,,,,
Q432244,,,,,,,,,,,pcrtPqZtZjr0N1,122,,,,
Q433463,283992638,,,,119495627,,,,,,,,,,,
Q434786,55588507,000000007881956X,n85175821,160839,134002350,122527038,,,,,,,,,,
Q435163,8144648153311325193,0000000101240346,n85294050,1849722,118620010,13516380d,,OL6035499A,,,,6140,5072,1723,,
Q435167,187963845,0000000398983246,n97101181,398484,118785354,13540067j,,,177691,,,,,,,
Q435213,66855866,,,,102380260,,,,,,,553,,,,
Q435329,24164536254032020400,0000000499492729,n2018003864,,1186618590,,,,,,,114,,,,
Q435352,,,,,,,,,,,,2616,,,,
Q435392,49151776733518010598,,n86069821,1832702,,,,,,500355361,,3920,,,,
Q435404,26157701717444221148,,,,,,,,,,,1642,,,,
Q435408,221106167,,,,101762061X,177398230,,,,,,2313,,,,
Q435936,23149365874785600300,,nr97014366,1850584,119033771,14507945q,,,,,,6285,,,,
Q436034,304920533,0000000390077636,n86113064,1829651,118778315,,,,,,,533,552,1939,,
Q441191,,,,,,,,,,,,1635,,,,
Q445758,10651979,,,,119251019,,,,88784,500315922,,1640,5869,158,,
Q445777,67381749,,,,123758424,,,,,,,2273,,,,
Q445785,,,,,,,,,,,,1638,,,,
Q450675,68559410,0000000109837331,no99003356,1819146,1032307897,166874861,001146415,OL7400875A,,,,,,,281828450,
Q450708,101145542639696641998,0000000063120270,nr95021497,,102393893,,,,86429,,,864,,652,,
Q451516,48145304382878571158,,,,102386196,,,,,,,5757,,,,
Q451597,77127414,0000000038599144,n87863220,1816082,119524163,,,,,,,1844,,,,
Q451791,169047228,0000000118085012,no2011040943,,1117033805,,,OL7101509A,,,,,,,,
Q453860,305418991,,,,,,,,,,pcrtBRz0uJGJnq,1871,,1256,,
Q453874,,,,,,,,,150747,,,6680,,,,
Q453899,,,,,,,,,,,,3801,,,,
Q456950,3630155566460013380004,,,,1183422547,,,,177442,,,124,,,,
Q458397,,,,,,,,,,,,537,,,,
Q459836,,,,,,,,,,,,2614,,,,
Q459853,7944155566469713380008,,,,1183433158,,,,175538,,,,,,,
Q459857,,,,,,,,,176870,,,,,,,
Q459870,306360146,,,,1047618931,,,,,,,1221,,,,
Q460160,,,,,,,,,,,,545,7694,,,
Q461104,19713400,0000000368492868,n80163590,65649,118805789,12138349b,,OL18070A,,,,,,,,
Q462249,2340155708715122580006,,,,1185099042,,,,176794,,,1853,,,,
Q462978,77110932,,,,118731041,,,,,,,3968,,,,
Q463000,,,,,,,,,,,,5856,,,,
Q463027,7281586,0000000054763514,nr95024511,,,,,,,,,,4911,855,,
Q3838837,22527698,,,,102385823,,,,,,,,8025,,,
Q3838913,304914849,0000000416286832,,,1185194525,,,,177564,,,,,,,
Q3925304,9992155708710322580009,,,,1185099662,,,,176198,,,,,,,
Q3927948,,,,,,,,,177376,,,,,,,
Q3956186,11784089,0000000374447991,n2008065595,1992801,1070597058,,,,,,,,,,,
Q4000158,,,,,,,,,80330,,,,,,,
Q4010545,,,,,,,,,,,,6763,,,,
Q4056733,187822147,0000000117600836,n2004154459,,1037993578,11166560d,,,,,,,,,,
Q4065721,26923057,0000000109615501,nr91041419,,102714037,16939221v,00766886,,,,,,,,,
Q4106039,167191116,0000000114250746,nr90007443,,172775795,,,,,,,,,,,
Q4135787,99144648434053134839,0000000082523198,n84106145,130067,11869054X,,,,,,,,,,143181999,
Q4147768,97104099,0000000025684665,n86119830,197462,,,,OL677359A,,,,,,,,
Q4243064,76173982,0000000082694069,,,1017831904,,,OL5422031A,,,,,,,,
Q4249944,65282613,0000000055623732,n79073128,38549,101715189X,,,OL6197365A,,,,,,,,
Q4253746,32755797,0000000110241658,n99049435,,116723262,,,OL2365910A,,,,,,,,
Q529884,522155708731322580002,,,,1185100725,,,,175891,,,,,,,
Q6082255,9538009,0000000076938506,no2003078701,497598,1055307400,,,OL548888A,,,,,,,,
Q6109517,89050933,0000000062244706,no2025054931,,1284904598,18229747s,034283732,,,,,,,,,
Q50300133,2430155708715322580000,,,,1185192689,,,,94487,,,,,,,
Q52944887,10873291,0000000015518575,,,127617043,,,,,,,,,,,
Q53084320,1574155566479113380009,,,,1183417926,,,,177737,,,,,,,
Q53862185,32155042664272400546,,,,1177952289,,,,175377,,,,,,,
Q53862726,26155042750772401963,,,,117815064X,,,,175321,,,,,,,
Q54507028,10625618,,,,117524867,,,,,,,,,,,
Q55674981,40144845,0000000110253835,no95058514,,117012114,,,,,,,,,,,
Q55683252,166620812,0000000113942628,,,1069013749,,,,,,,,,,,
Q55845506,86216641,0000000071047771,,,138069182,10284014t,,,,,,,,,,
Q60829873,,,,,,,,,177539,,,,,,,
Q531948,34155189889782131348,,no2019028133,,10237807X,,,,,,,103,5706,1518,,
Q535345,79187018,0000000078434539,n95115970,366025,119322099,145023199,,,,,,,,,,
Q538539,,,,,,,,,,,,1315,,,,
Q539212,35546258,0000000108874800,n82113937,97878,129847887,10314904q,,OL5609532A,,,,,,,214331985,
Q542038,3264257,,,,118653040,,,,177475,,,129,,,,
Q543615,16147118320926342456,,,,,,,,143489,,,,,,,
Q548832,,,,,,,,,86271,,,,,,,
Q550560,289126752,,,,102408696,,,,,,,,,,,
Q551516,140159032729001181769,,,,1330409736,151157638,,,159600,,,3544,,,,
Q551668,290012040,0000000077208687,nr95015547,357001,102143447,129944107,,OL7617407A,,,,3692,4800,318,,
Q554325,,,,,,,,,,,,3924,,,,
Q554395,,,,,,,,,175622,,,,,,,
Q557052,401155953592842630002,,,,1187544582,,,,,,,,,,,
Q558402,,,,,,,,,,,,151,,,,
Q561677,579159474190027661810,,,,,,,,,,,,,,,
Q561705,6610155708723522580002,,,,118519181X,,,,177280,,,2738,,,,
Q561896,29888106,,,,101008074,,,,,,,,5644,1268,,
Q568498,,,,,,,,,,,,3955,,,,
Q570532,60149294309280521736,0000000481221680,n85196364,161902,118522159,149789004,,,67691,,pcrt7gdUhStArQ,3949,,,,
Q577490,,,,,,,,,,,,5906,,,,
Q580979,,,,,,,,,,,,4213,,,,
Q586974,6703155708703622580004,,,,1185219080,,,,93816,,,,,,,
Q587621,15575546,,nr95037483,1851664,119233398,,,,,,,,8168,,,
Q589448,,,,,,,,,,,,2756,,,,
Q603361,1353155919367939730006,,,,1187004278,,,,177908,,,,,,,
Q4821843,36275478,,n2002043151,484026,,,,,,,,1696,,,,
Q5079120,,,,,,,,,165513,,,,,,,
Q5295006,8418155919129239730000,,,,118700300X,,,,177038,,,,,,,
Q5488544,118083648,0000000083309396,no96012771,,142261947,,,OL2404092A,,,,,,,,
Q5492544,37696000,0000000078578129,,,117530999,,,OL2499892A,,,,,,,,
Q5492598,51683557,0000000078288308,n86003690,180543,1034798960,11625895p,,,,,,,,,,
Q5517432,4311155708719122580009,,,,1185123717,,,,,,,,,,,
Q5607942,49382388,0000000108573573,n83828744,,116505346,135261148,,,,,,,,,,
Q5731729,61850111,0000000116559202,nr92023935,,116562544,152889290,,OL2349389A,,,,,,,,
Q6036896,26658365,0000000110230166,no96037289,378201,10198409X,105911650,,OL7281721A,,,,,,,,
Q47154,533158790748838852927,0000000121463483,n79033010,32970,118575236,11913603g,00470725,OL164746A,36403,,pcrt5NtSwOOhOV,3786,529,852,,
Q47160,97160307504657742431,0000000121371386,n80014980,49873,118594974,11887290c,00452953,OL30123A,141500,,pcrtUjcMgS7VSm,5127,695,1138,87866920,
Q47163,23146462703827772135,000000012130962X,n79043913,34277,118627252,11928567v,00459805,OL4630446A,144657,500014983,pcrtTN8Lt4H8HV,6840,965,1476,,
Q47563,81172321,0000000056591453,n2009069008,1916477,13347514X,17063162x,,OL6762688A,,,,,,,,
Q47602,115038145,0000000083202345,n95116110,366033,119406918,12500206x,,OL75195A,,,,,,,,
Q47904,69772573,0000000109131531,n78046429,1915510,120933357,12412865m,,,,,,,,,,
Q48174,2874162723655561290001,0000000115900069,n85017329,151278,118501097,120153836,,,56909,500240655,pcrtD6coycSRfe,6827,5267,44,,
Q51380,280728854,0000000387699194,,,1372300635,,,,94079,,,1857,,,,
Q51673,962161211719240070006,0000000116835537,n50051933,1804903,118503529,120495433,00620270,,59282,500354061,pcrt4Qo8BMTGjS,547,4858,,,
Q463130,41519903,0000000046506331,no2002116146,1987098,1022690884,,,OL1507344A,,,,,,,,
Q464307,,,,,,,,,191845,,,5254,,,,
Q465074,,,,,,,,,176162,,,3397,,,,
Q465212,,,,,,,,,,,,2276,,,,
Q465262,,,,,,,,,175811,,,,,,,
Q466696,75098175,0000000021918970,n50076465,1807688,119490285,,,,137941,,,1096,,,,
Q469712,,,,,,,,,,,,,6990,,,
Q472077,4337159478007327990001,0000000117052999,n00024409,444655,118643940,13164180q,,,,,,166,4786,37,,
Q472219,963154380955030290579,,,,,,,,,,,167,,,,
Q472270,64037479,0000000109087112,n50082108,19746,118588583,121134208,00518271,OL5264509A,,,,,,,7368,
Q472433,,,,,,,,,,,,39,,,,
Q473280,3607155105774476320003,,,,1178625435,,,,177679,,,5208,,,,
Q477726,83949764,0000000061447173,,,1165263068,,,,,,,,,,,
Q483783,50610588,0000000107610985,n83212399,120909,11864260X,12005009r,,,148419,,pcrtd9l270YsOX,1878,5071,1342,,
Q502900,8828950,,n85216488,1832822,,,,,,,,,,,,
Q503187,200036713,0000000078583550,no97057799,1846146,118584677,177632105,,,,,,,7662,1921,,
Q503212,,,,,,,,,,,,1842,,,,
Q503320,39767144,,,,102405522,,,,,,,1872,4694,,,
Q504145,,,,,,,,,24800,,,,,,,
Q505341,76706375,,,,102399433,,,,,,,1223,7748,,,
Q507578,7862155832952533490004,,,,1186393270,,,,177734,,,544,,,,
Q508134,15581907,,nr95038421,,102399409,,,,,,,,4997,929,,
Q510243,,,,,,,,,,,,5437,,,,
Q514171,349159474047627660816,,,,119521598,,,,,,,,,,,
Q515204,76209013,0000000050146826,nr95037511,1810715,,,,,,,,3398,,,,
Q518928,,,,,,,,,,,,3449,,,,
Q519186,,,,,,,,,,,,3159,,,,
Q521435,2901155566482013380006,,,,1183433824,,,,175442,,,,,,,
Q521446,62345109,000000005006090X,nr96012176,1855614,118804006,,,,,,,6703,,,,
Q521460,,,,,,,,,,,,5859,,,,
Q521485,16102819,0000000099211254,n81146438,1832823,,,,,,,,,,,,
Q521507,35152329139602670714,,,,1155436555,,,,209815,,,1224,,,,
Q521552,160159323,0000000107537693,no2010178571,1946891,138490589,162312520,,,96207,,,,,,,
Q521670,3399155919262339730000,,,,118700233X,,,,177558,,,1854,,,,
Q525629,,,,,,,,,,,,2613,,,,
Q705372,,,,,,,,,,,,4455,,,,
Q704362,44692737,,,,10239945X,,,,,,,1227,7749,,,
Q64736312,3715155566483813380008,,,,1183430418,,,,175171,,,,,,,
Q66740867,4966155832967533490006,,,,1186419628,,,,88161,,,,,,,
Q67503628,71281828,0000000049994131,nr95024113,,,,,,,,,,,,,
Q7192750,37084818,0000000081160882,n84143648,137577,120391716,13574750b,,OL5233145A,,,,,,,,
Q6197,939164191732318740002,0000000121452178,n79081354,39544,118553569,11886570b,00540086,OL20088A,58659,500404135,pcrtmnyIHDl11Q,3150,395,748,,PA6393-PA6444
Q7170,315615478,0000000121462501,n79018348,1845526,118605097,11887462p,00455197,OL6824884A,98037,,pcrt5h50kJ7fEp,5676,825,1237,,
Q7186,76353174,0000000368644542,n80155913,64685,118523023,121447141,00437030,OL58151A,146156,,,,,,1613,
Q64714,74630843,000000010916523X,n84095642,133570,117463191,105797388,00770309,OL1172255A,,500063166,,,,,,
Q64757,78771594,0000000080779333,n2010055295,1759307,116367415,120633038,001097856,OL366340A,,,,,,,,
Q66571,27221035,0000000080767260,n86042727,191869,118688944,13493949p,01180154,OL2282565A,,,,,,,,
Q66607,7460428,0000000108669794,no92028167,312911,117413755,123268570,,OL2002723A,,,,,,,,
Q67500,77110517,000000011072000X,no92029691,313661,118706748,15570187b,,OL2310521A,,,,,,,,
Q68107,56706883,0000000109041720,n88680715,,117573493,124579757,,OL4542443A,,,,,,,,
Q71318,45094588,0000000108941401,n83054455,111736,118567780,12677850c,00745323,OL4869545A,,,,,,,,
Q71337,10626526,0000000108551016,n86825109,175334,117558869,11629152f,,OL2312373A,,,,,,,,
Q633719,5319166172280390800009,0000000050908560,nr95033452,,102384150,,,,,,,,4906,,,
Q634206,,,,,,,,,,,,3787,,,,
Q637205,,,,,,,,,96182,,,1336,,,,
Q646993,,,,,,,,,,,,1839,,,,
Q656527,,,,,,,,,,,,3696,,,,
Q666302,,,,,,,,,,,,112,,,,
Q669044,17613776,,,,102378924,,,,,,,335,7676,,,
Q670361,,,,,,,,,,,,2608,,,,
Q670737,,,,,,,,,,,,5284,,,,
Q673402,,,,,,,,,,,,6137,,,,
Q674741,39269172,000000000506678X,nr95029283,,102393982,,,,175228,,pcrtfJUZZS6sVJ,2807,4956,660,,
Q674957,90217751,0000000078364729,n97101525,398508,1037919971,131742837,,,,,,,,,,
Q688455,40162506,0000000078578604,,,117692409,,,,,,,,,,,
Q703346,40189975,0000000013909070,,,119495619,,,,,,,,,,,
Q703354,,,,,,,,,,,,1222,,,,
Q703362,,,,,,,,,175439,,,1225,,,,
Q703448,,,,,,,,,,,,3743,,,,
Q704313,316750488,0000000058591975,n80129272,61842,118521373,,,,,,,1711,4921,392,,
Q705416,,,,,,,,,160324,,,6011,,,,
Q705425,17614022,0000000048902469,nr95024524,,102385807,,,,,,,989,4930,,,
Q705766,21168286848057272095,,no2023046575,,,,,,142868,,,3788,,,,
Q706305,2536168049030938410006,,,,1284462994,,,,,,,,,,,
Q706722,,,,,,,,,174322,,,6676,,,,
Q707738,,,,,,,,,,,,3951,,,,
Q708263,7805156223633005400002,,,,1189028921,,,,,,,2272,,,,
Q708483,,,,,,,,,,,,1862,,,,
Q708570,23151776826918012907,0000000093108774,,,121494985,,,,,,,3705,,,,
Q708722,4552155708719522580003,,,,1185102264,,,,177489,,,1876,,,,
Q709251,91148933634954302261,,,,1126974641,12306067p,,,,,,,,,,
Q709628,414158790621838851114,0000000053199034,nr95029637,1847762,102128332,16569816v,,,,,,1875,,1296,,
Q709811,,,,,,,,,,,,1309,,,,
Q710489,1149155919066039730003,,,,1187001511,,,,177560,,,1627,,,,
Q710877,24491444,0000000063129195,nr95024523,1814260,102385831,,,,175636,,,3693,4931,,,
Q712195,47153216,,,,102406898,,,,,,,6139,,,,
Q712202,27455492,,,,102393729,,,,,,,,,,,
Q713257,,,,,,,,,,,,1859,,,,
Q713394,,,,,,,,,175675,,,,,,,
Q714670,6745155769098427880007,,,,1185780106,,,,175543,,,,,,,
Q714798,,,,,,,,,,,,928,,,,
Q714821,1278706,,n78098465,1832701,1188662694,17133537c,,,48605,,pcrtkgPvSJBQmG,,,,,
Q715220,,,,,,,,,,,,6681,,,,
Q715499,10236017,,,,10238584X,,,,,,,3698,,,,
Q715851,,,,,,,,,,,,4531,,,,
Q717425,259524473,000000038033810X,no2012092267,,,,,,,,,2697,,,,
Q718090,,,,,,,,,,,,3442,,,,
Q718125,107148703965636930010,0000000460218466,nb2017002593,,1126466816,17122146s,,,,,,,,,,
Q718133,,,,,,,,,150746,,,3922,,,,
Q718143,9737849,0000000050583604,nr95033837,,102398143,,,,,,,,,,,
Q718165,12693974,0000000004693968,nr95039701,,102401772,,,,,,,,,,,
Q720345,35494942,0000000108874683,n84154848,139556,127991298,12673195f,,OL4833351A,,,,,,,,
Q720840,,,,,,,,,,,,990,,,,
Q720844,8307155708706922580001,,,,1185124268,,,,175471,,,,,,,
Q720855,252468591,,no2012091624,,1023277530,166599372,,,,,,,,,,
Q720859,,,,,,,,,,,,991,,,,
Q721783,,,,,,,,,,,,1843,,,,
Q721788,17113950,0000000050753079,nr95024120,,1186999993,,,,177203,,,1856,,,,
Q6454823,8283777,,,,123009456,,,,,500372686,,,,,,
Q6587844,,,,,,,,,,,,1297,,,,
Q6697574,6990155708724322580005,,,,1185208828,,,,177399,,,,,,,
Q6697599,7282011,,nr95026830,,,,,,,,,,,,,
Q6697618,,,,,,,,,,,,6223,,,,
Q6758326,,,,,,,,,177706,,,,,,,
Q6884783,,,,,,,,,,,,4627,,,,
Q7151323,4081161030924823920002,,,,1224691539,,,,,,,,,,,
Q7152287,94234868,0000000110778658,,,117547654,,,OL2505240A,,,,,,,,
Q772930,8740155919131239730003,,,,1186997869,,,,177521,,,,,,,
Q772487,30149542976900302922,,,,,,,,177595,,,,,,,
Q772631,,,,,,,,,,,,1841,,,,
Q92476546,73745205,0000000050056425,nr95022473,,,,,,,,,,4880,,,
Q766552,87902270,,,,102382905,,,,177887,,,1833,7651,,,
Q770792,,,,,,,,,,,,3695,,,,
Q763405,,,,,,,,,,,,126,,,,
Q764246,53030470,0000000063191044,n82056649,91105,116698632,,,OL2441896A,,,,,,,,
Q773093,,,,,,,,,174645,,,,,,,
Q773808,,,,,,,,,,,,1879,,,,
Q776549,,,,,,16296872q,,,,,,638,,,,
Q779957,,,,,,,,,,,,1641,,,,
Q781386,10236502,,,,102400954,16570881b,,,,,,,8009,,,
Q857017,4931161152502935190000,000000047689387X,no2004032512,507181,,,,,,,,1117,7734,,,
Q857021,69320819,,,,102377979,,,,,,,37,4121,12,,
Q857024,,,,,,,,,,,,1303,,,,
Q857074,68822853,000000004992095X,nr95039839,1820781,,,,,,,,5860,4957,,,
Q857131,8186155919341339730000,,,,1187002747,,,,177051,,,,,,,
Q867394,309682599,0000000408922640,nr95027541,1812601,102384916,,,,,,,,4353,367,,
Q868058,,,,,,,,,,,,1850,,,,
Q868079,42230614,0000000053200314,nr95040298,,102405581,,,,,,,,,,,
Q888910,5644155708721722580004,,,,1185227644,,,,175235,,,,,,,
Q897734,10236375,,,,102397414,,,,,,,,,,,
Q897850,2858221,,,,10239993X,,,,,,,,,,,
Q921025,26954460,0000000052750701,nr95024520,,1208349902,,,,,,,,,,,
Q921693,3603155708697522580000,,,,1185226923,,,,175381,,,4568,,,,
Q922459,,,,,,,,,,,,4876,,,,
Q929498,2359574,0000000054356038,nr95026784,,,,,,,,,1220,4999,931,,
Q935315,,,,,,,,,,,,3956,,,,
Q935520,,,,,,,,,,,,5817,,,,
Q936673,3327155953622342630001,,,,1187366668,,,,,,,,,,,
Q7258137,9335155832955533490004,,,,1186422343,,,,177467,,,5122,,,,
Q7258146,305392545,,,,,,,,,,,6857,5378,1480,,
Q74405189,1271155708692722580006,,,,1185206361,,,,177684,,,,,,,
Q762,24604287,000000012124423X,n79034525,33122,118640445,11912491s,00447394,OL54736A,35533,500010879,,,2816,,5945,
Q8413,104148389144010710762,0000000120966935,n79055925,1813658,118565184,12182910j,00960780,OL1028630A,140661,500115703,pcrt0PeIFAH9HJ,1786,2344,400,,
Q8833,36906810,0000000063182711,n94110034,1832150,118730053,12308437b,,,140978,,pcrtbFgvpUIfjZ,3856,4803,874,,
Q72852,17657604,0000000083610656,n87129983,,104276150,,,OL2594210A,,,,,,,,
Q73219,44364770,0000000110258484,n85310225,172810,116487380,12305076d,,OL2021580A,,,,,,,,
Q73747,52525949,0000000109720387,,,120649969,,,OL5384988A,,,,,,,,
Q74048,37344273,,,,104129654,,,,,,,,,,,
Q74798,10736073,000000005536841X,n2015186432,,122762711,,,,,500288956,,,,,186780081,
Q75826,14151776766518011054,0000000109201114,n79026681,1811802,118668811,12312444c,,,144572,500354575,pcrtbtSoQtN39k,5849,,,,
Q76023,35059837,0000000368640111,no98125554,1972143,110700805,,,OL164908A,,,,,,,,
Q78142,10644300,0000000080903920,no92029763,314065,118903039,,,OL4590440A,,,,,,,,
Q78278,12684676,0000000121211649,n85316689,,102029032,10239169j,,OL2126042A,,,,,,,,
Q84447,37217158,0000000081164242,nr96020004,375572,116168919,15241340b,,,,,,,,,,
Q84664,73980622,0000000081540535,no2001057377,,118637002,12848847f,,OL2070126A,,,,,,,,
Q85855,51772059,0000000109007354,n86859097,184930,118657917,12388488w,00432747,OL5001837A,,,,,,,,
Q86934,95190728,0000000110783705,n85351630,191302,116970243,12553450q,00766778,OL5026830A,,,,,,,,
Q87001,62303176,0000000109081159,no2014099251,,116555122,,,OL4275669A,,,,,,,184185671,
Q87217,166323454,0000000117249767,,,13316134X,,,,,,,,,,,
Q87516,69056044,0000000109125473,n80080406,56818,117716200,12754761s,,OL4634888A,,,,,,,,
Q87900,14917475,0000000083592443,no96063579,384226,118599313,13327059v,00473644,OL2574249A,,,,,,,,
Q89299,74008741,0000000081541773,n90000131,262358,11728078X,13519131c,00525914,OL2093948A,,,,,,,,
Q90262,71768799,0000000110292754,n92059618,1505764,101786174,,,OL2455324A,,,,,,,,
Q722307,,,,,,,,,,,pcrtnmwYrfvLaZ,,,,,
Q723438,8149155708726522580001,,,,1185113789,,,,175742,,,2157,,,,
Q724735,184642552,,,,102384894,,,,,,,6598,,,,
Q725696,156155708710822580001,,,,1185122397,,,,174485,,,,,,,
Q727792,5797159035172101380007,0000000052901872,nr95028971,,102381984,,,,,,,794,4867,207,,
Q729415,,,,,,,,,,,,1851,,,,
Q731534,514155598030015600007,,,,1183966377,,,,,,,,,,,
Q743785,60861229,0000000116543649,n98067797,,143681761,,,OL6555363A,,,,,,,,
Q745133,79159518044532770380,0000000050145858,nr95027998,,102401128,,,,,,,4582,5017,1934,,
Q761326,,,,,,,,,175525,,,,,,,
Q761346,58971620,0000000453808388,nr95022101,1817864,,,,,,,,,,622,,
Q97365389,,,,,,,,,175981,,,,,,,
Q97793769,,,,,,,,,97158,,,,,,,
Q989,6309553,0000000120981449,n78078345,27469,118558064,120790780,00444266,OL28457A,170933,500278046,,,,,10717244,
Q96594,20474935,0000000119301557,no2011081017,1914320,118700200,,,OL1061267A,,,,,,,,
Q937798,22528027,,,,102393842,,,,,,,,,,,
Q938378,,,,,,,,,,,,5282,,,,
Q939993,24492370,,nr95029285,1817863,102323208,,,,,,,,4944,621,,
Q940041,5801155919291339730007,,,,1186999837,,,,178031,,,3455,,,,
Q940162,,,,,,,,,,,,3953,,,,
Q947607,,,,,,,,,,,,1852,,,,
Q948169,116234328,0000000110853670,nr96015026,,,12536696w,,,,,,,,,,
Q949270,,,,,,,,,,,,5480,,,,
Q949544,45399769,0000000021325673,,,13009305X,,,,,,,3166,,,,
Q952904,1909155566430513380009,,,,1183430779,,,,94530,,,639,,,,
Q955084,57001409,,,,10238567X,,,,,,,,,,,
Q955339,573159474048527660646,,,,10240545X,,,,,,,,5050,,,
Q962769,34350195,0000000052968890,nr95038423,,102400806,,,,,,,4467,5013,1000,,
Q968670,8541155832953833490005,,,,1186421592,,,,176752,,,,,,,
Q975597,,,,,,,,,,,,116,,,,
Q976168,2359143,0000000054355799,nr95024504,1811710,1183965842,,,,177424,,,1421,,,,
Q982497,,,,,,,,,,,,2353,,,,
Q983260,59144814342924971191,0000000457551428,nr95028757,,102368325,,,,,,,,4869,217,,
Q983266,,,,,,,,,177972,,,,,,,
Q984200,72151776772218010941,,,,,,,,,,,3859,,,,
Q93973528,,,,,,,,,177793,,,,,,,
Q94825402,77086036,0000000066789893,,,11715654X,,,,,,,,,,,
Q94842375,47539129,0000000021391144,,,117406805,,,,,,,,,,,
