qid,label,subclass_of,subclass_of_label,part_of,part_of_label,has_parts,has_parts_label,fast_id,gnd_id,lcsh_id,ddc,aat_id,babelnet_id,kbpedia_id,world_history_id,lcc,flag_reason
Q53644712,El Comité 1973,,,Q135294248,Red de instituciones comitanas,Q79408975|Q79411069|Q79411470|Q79411862|Q79412075|Q79433175|Q79433381|Q79433558|Q79433790|Q79433930|Q79434494|Q79503292|Q79503869|Q79504647|Q79505719|Q79536813|Q79537275|Q79537772|Q79539274|Q79540554|Q79541085|Q79541716|Q79542084|Q79542568|Q79543719|Q79544766|Q79545111|Q79545424|Q79545567|Q79546295|Q79547177|Q79548176|Q79549098|Q79549572|Q79679652|Q79680235|Q79680576|Q79680940|Q79681363|Q79683624|Q102462878|Q102471243|Q102474479|Q108700050|Q110286185|Q111743675|Q113363478|Q116547338|Q117846626|Q133504426|Q137945659,"El Comité 1973, número 1. Amistad y tristeza según Montaigne|El Comité 1973, número 2. Deseo. Sexo. Literatura.|El Comité 1973, número 3. Casualidad de lo Eterno|El Comité 1973, número 4. Zoología Fantástica|El Comité 1973, número 5. Exilio español en México|El Comité 1973, número 6. Escritores Hidalguenses|El Comité 1973, número 7. Literatura en lengua alemana del siglo XX|El Comité 1973, número 8. La Grecia Antigua|El Comité 1973, número 9. Escritores latinoamericanos del siglo XX|El Comité 1973, número 10. El Renacimiento|El Comité 1973, número 11. Poesía Europea del Siglo XX|El Comité 1973, número 12. Cien años después de 1914: La gran guerra|El Comité 1973, número 13. La Música|El Comité 1973, número 14. Roma|El Comité 1973, número 15. El Séptimo Arte|El Comité 1973, número 16. Poesía de las Islas Británicas|El Comité 1973, número 17. Babel: El problema del lenguaje|El Comité 1973, número 18. Literatura Húngara|El Comité 1973, número 19. Transversal|El Comité 1973, número 20. Novela Negra|El Comité 1973, número 21. Escribir desde la locura|El Comité 1973, número 22. Microliteratura|El Comité 1973, número 23. Humor Negro|El Comité 1973, número 24. Traducción|El Comité 1973, número 25. Ciudades imposibles|El Comité 1973, número 26. El sueño de Wagner|El Comité 1973, número 27. Oveja Negra: El otro y su diferencia|El Comité 1973, número 28. Censura|El Comité 1973, número 29. Crítica Literaria|El Comité 1973, número 30. Influencias literarias|El Comité 1973, número 31. Cuento Moderno|El Comité 1973, número 32. Vanguardias literarias contemporáneas|El Comité 1973, número 33. Distopías|El Comité 1973, número 34. Feminismo|El Comité 1973, número 35. Literatura en lengua alemana|El Comité 1973, número 36. Migraciones y movilidades humanas en la contemporaneidad|El Comité 1973, número 37. Erótica|El Comité 1973, número 38. Horror|El Comité 1973, número 39. Literatura norteamericana (Canadá, Estados Unidos y México)|El Comité 1973, número 40. Infierno|El Comité 1973, número 41. Asia|El Comité 1973, número 42. Paganismo|El Comité 1973, número 43. El Universo|El Comité 1973, número 44. El Tiempo|El Comité 1973, número 45. Anarquía|El Comité 1973, número 46. Migrar para sobrevivir: refugiados|El Comité 1973, número 47. Italia: literatura, cine, música|El Comité 1973, número 48. La fotografía|El Comité 1973, número 49. Guadalupe Flores Liera|El Comité 1973, número 50. Alemania: literatura, música|El Comité 1973, número 51. La Ciudad de México-Tenochtitlan a 701 años de su fundación",,,,,,,,,,
Q3587639,"Electronics, Electrical Engineering and Automation",,,,,,,,,,,,,,,,
Q113203792,"Embedding Pacific Peoples knowledges, histories, culture, country, perspectives and ethics in education",Q113203814,Pacific Peoples education,,,,,,,,,,,,,,
Q138511048,Engineering management,,,,,,,,,,,,,,,,
Q1860,English,Q1346342|Q5329170,Anglic|Anglo-Frisian,,,Q7985|Q7976|Q44679|Q1348800|Q44676|Q7979|Q1553250|Q665624|Q2363292|Q7269768|Q4567134|Q8002|Q23580217|Q1156228|Q12859294|Q7033019|Q44661|Q603200|Q111911970|Q1068863,received pronunciation|American English|Australian English|Indian English|Canadian English|British English|Scottish English|Hiberno-English|Welsh English|Quebec English|Caribbean English|African American Vernacular English|European English|South African English|Pakistani English|Nigerian English|New Zealand English|Jamaican English|Belizean English|Hong Kong English,910920,4014777-0,sh85043413,420,300388277,00030862n,EnglishLanguage,,PE,natural_language
Q125376696,English Rhetoric & Linguistics,,,,,,,,,,,,,,,,
Q133546019,English and Comparative Literature,,,,,,,,,,,,,,,,
Q112977070,English and literacy curriculum and pedagogy,Q110542446,curriculum and pedagogy,,,Q107550344|Q1417815,English pedagogy|reading education,,,,,,,,,,
Q130192,English as a second or foreign language,Q1860|Q7691272,English|teaching English as a second or foreign language,,,,,,,sh85043710,,,,,,,natural_language
Q560583,English grammar,,,Q1860,English,,,,,sh85043556,425,,03276179n,EnglishGrammar,,,
Q109587623,English literature,,,Q27968,English studies,,,,,,,,,,,,
Q107550344,English pedagogy,Q27968|Q7922,English studies|pedagogy,Q112977070,English and literacy curriculum and pedagogy,,,,,,,,,,,,
Q27968,English studies,Q11790583|Q40634,modern philology|philology,,,Q109587623|Q560583|Q1321978|Q28856|Q160845|Q784975|Q133500|Q113861611,English literature|English grammar|linguistic prescription|stylistics|sociolinguistics|history of English|learning|history of English literature,912245,4002046-0,sh85043929,420|820,,00030864n,,,PE,
Q5379885,Enrollment management,,,,,,,,,,,,,,,,
Q109735643,Enterprise ontology,Q44325|Q1040393,ontology|enterprise engineering,,,,,,,,,,,,,,
Q5380492,Entertainment technology,,,,,,,,,,,,,,,,
Q112939668,Environmental biogeochemistry,Q864379|Q5381367,biogeochemistry|environmental studies,,,,,,,,,,,,,,
Q112980842,Environmental education curriculum and pedagogy,Q110542446,curriculum and pedagogy,,,,,,,,,,,,,,
Q5381327,Environmental magnetism,,,,,,,,,,,,,,,,
Q112955700,Environmental rehabilitation,,,,,,,,,,,,,,,,
Q110252455,Environmental studies in animal production,Q5381367|Q80962,environmental studies|animal husbandry,,,,,,,,,,,,,,
Q137780862,Epistemocriticism,Q208217,literary studies,,,,,,,,,,,,,,
Q136831181,Epistemology of the Image,Q9471,epistemology,,,Q136831153|Q136818501|Q136831498|Q136831273,Critical Fiction|theoretical disappropriation|Hermeneutic Metanoia|Cultural Self-Phagy,,,,,,,,,,
Q726866,Eratosthenian,,,Q386638,lunar geologic timescale,,,,,,,,,,,,
Q115669424,Eritrean studies,,,,,,,,,,,,,,,,
Q1334834,Estonian literature,,,,,,,,,sh85044989,894.545,,,,,,
Q257910,Ethiopian studies,Q38157,African studies,Q38157,African studies,,,,4217411-9,,,,,EthiopianStudies,,,
Q124611847,Ethnocartography,Q42515|Q132151,cartography|ethnography,,,,,,,,,,,,,,
Q23019171,Eurasian studies,Q1595873,domestic studies,,,,,,,,,,,,,,
Q1370467,EuroVoc,,,Q54837|Q75487064,Semantic Web|EU Vocabularies,,,,4474210-1,,,,00472535n,,,,known_bad_qid
Q1377396,European Culture and Economy,,,,,,,,,,,,,,,,
Q64814369,European Law and Policy,,,,,,,,,,,,,,,,
Q64808958,European and Nordic studies,,,,,,,,,,,,,,,,
Q15075764,European ethnology (Volkskunde),Q34749|Q1143546,social science|cultural studies,,,,,,4078937-8,,,,,,,,
Q1048268,European integration,,,,,,,,4071013-0,,,,,EuropeanIntegration,,,regional_language_variant
Q108371114,European integration studies,,,,,,,,,,,,,,,,
Q1377029,European studies,Q1595873,domestic studies,,,,,,,,,,,EuropeanStudies,,,regional_language_variant
Q112939752,Evolutionary impacts of climate change,Q112939747|Q840400|Q1430548,Climate change science|evolutionary biology|effects of climate change,,,,,,,,,,,,,,
Q28130303,Exometabolomics,Q12149006,metabolomics,,,,,,,,,,,,,,
Q114024742,Experimental jurisprudence,Q4932206,jurisprudence,,,,,,,,,,,,,,
Q120969781,Factoid question answering,,,,,,,,,,,,,,,,
Q5769133,Factual science,Q336,science,,,,,,,,,,,,,,
Q110252335,"Farm management, rural management and agribusiness",,,,,Q1407914|Q7380583|Q396622,farm management|rural management|agribusiness,,,,,,,,,,
Q118906198,Fashion psychology,Q538904,applied psychology,,,,,,,,,,,,,,
Q5438164,Fault mechanics,,,,,,,,,,,,,,,,
Q124610984,Feminist cartography,Q42515,cartography,,,,,,,,,,,,,,
Q30324052,Feminist institutionalism,,,Q730099,new institutionalism,,,,,,,,,,,,
Q111954024,Feminist science and technology studies,Q2445082,science and technology studies,,,,,,,,,,,,,,
Q274072,Fermi–Dirac statistics,,,,,,,,1280437820,,,,,,,,
Q2088309,Filipinology,Q7569309,Southeast Asian studies,,,,,,,,,,,,,,
Q120969816,Financial Transparency System,,,,,,,,,,,,,,,,
Q657107,Financial econometrics,Q113141571,"banking, finance and investment studies",,,,,,,,,,,,,,
Q64869210,Finnish and Finno-Ugrian language and culture,,,,,,,,,,,,,,,,
Q362748,Finnish studies,Q897219,Finno-Ugric studies,,,,,,,,,,,,,,
Q133260960,Finno-Ugric linguistics,Q897219|Q8162,Finno-Ugric studies|linguistics,,,,,,,,,,,,,,
Q897219,Finno-Ugric studies,Q2499930,uralistics,,,,,,,,,,,,,,
Q3536001,Food sampling,Q57330096,food analysis,,,,,,,,,,,,,,
Q11790208,Forest sciences,,,,,,,,,,,,,,,,
Q116547272,Forestry biomass and bioproducts,Q19924411,forestry science,,,,,,,,,,,,,,
Q116547270,Forestry product quality assessment,Q19924411,forestry science,,,,,,,,,,,,,,
Q108366776,Francophone studies,,,,,,,,,,,,,,,,
Q1453477,Freebase,,,,,Q15241312,Freebase Data Dumps,,,,,,,,,,
Q15241312,Freebase Data Dumps,,,Q1453477|Q648625,Freebase|Google Knowledge Graph,,,,,,,,,,,,
Q17076284,French as a foreign language,Q1450761,French studies,,,,,,,,,,,,,,natural_language
Q105233699,French horn performance,Q6942562,musical performance,,,,,,,,,,,,,,
Q120462065,French language and civilization,,,,,,,,,,,,,,,,
Q11333703,French language studies,Q1277348|Q1450761|Q11790583|Q40634,Romance studies|French studies|modern philology|philology,,,,,,7503327-6,,,,,,,,
Q6689,French literature,Q8242,literature,Q11891165|Q787221,Romance literature|Francophone literature,,,934688,7507697-4,sh85051865,840,,,FrenchLiterature,,,
Q90921731,French sociology,Q21201,sociology,Q21201,sociology,,,,,,,,,,,,
Q1450761,French studies,Q1277348,Romance studies,,,Q11333703,French language studies,,,,,,,,,,
Q120969786,Full-Network embedding,,,,,,,,,,,,,,,,
Q137183991,GHDP (Gross Human Dynamics Product),,,,,Q137184021|Q137184030|Q137184034|Q137184037|Q137184045|Q137184049|Q137184052|Q137184054,The Rhythm Gap|Strategic Decoupling|System Speed vs Human Tempo|Tempo Synchronisation|Tempo Governance|Institutional Time-Lag Crisis|The Cognitive Load Economy|Institutional Rhythm Collapse,,,,,,,,,,
Q124623836,GIS analysis,Q121775330,geospatial analysis,,,,,,,,,,,,,,
Q124624042,GIS science,Q124468378,geoinformation science,,,,,,,,,,,,,,
Q133898182,GIS technology,Q11661|Q136656525,information technology|geospatial information technology,,,,,,,,,,,,,,
Q125464837,Galician studies,Q1277348,Romance studies,Q40634,philology,,,,,,,,,,,,
Q61378343,Galician-Portuguese literature,Q8242,literature,Q11891165,Romance literature,,,,,sh85105350,,,,,,,
Q115669443,Gambian studies,Q54255598,West African studies,,,,,,,,,,,,,,
Q1499017,Geistesgeschichte,Q309|Q858517,history|cultural history,Q570018,history of ideas,,,,4071653-3,,,,,,,,
Q944537,Geisteswissenschaften,Q1587903|Q336,human science|science,,,,,,4019838-8,,001.3,,,,,,
Q20919947,Gender and Law,Q1662673|Q4932206,gender studies|jurisprudence,,,,,,,,,,,,,,
Q112947517,Gene expression,Q7162,genetics,,,,,,,,,,,,,,
Q126131200,General Arts,,,,,,,,,,,,,,,,
Q585511,Genographic Project,,,,,,,,,,,,,,,,
Q112939581,Genomics and transcriptomics,Q7162,genetics,,,Q222046|Q28946449,genomics|transcriptomics,,,,,,,,,,
Q15734393,Geo-Government,Q211017|Q918779,e-government|geoinformatics,,,,,,,,,,,,,,
Q2396610,GeoWeb,Q75,Internet,,,,,,,,,,,,,,
Q124623818,Geographical Analysis,Q217602,analysis,,,,,,,,,,,,,,
Q56313535,Geopoetics,,,,,,,,,,,,,,,,
Q3736210,Georgian literature,Q107560101,Georgian studies,,,,,,,,,,,,,,
Q107560101,Georgian studies,Q3647325,Kartvelian studies,,,,,,,,,,,,,,
Q120910086,Geospatial semantics,,,,,,,,,,,,,,,,
Q897113,German company law,Q2609670,corporate law,Q695742,law of Germany,,,,,sh2008101271,,,,,,,
Q13406587,German criminal law,Q146491,criminal law,,,,,,,,,,,,,,
Q133260943,German linguistics,Q166153|Q10894548,German studies|particular linguistics,,,,,,,,,,,,,,
Q76996465,German philology,Q166153|Q40634,German studies|philology,,,,,,,sh85054411,,,,,,,
Q166153,German studies,Q2620112,Germanic philology,,,,,,4020383-9,,830|430,,,,,,
Q15805624,German-language poetry,Q482,poetry,Q181287,German-language literature,,,941930,,sh85054413,831,,,,,,
Q2620112,Germanic philology,Q11790583|Q1377029,modern philology|European studies,,,,,,,sh85054442,,,,,,,
Q110252339,Germplasm management,,,,,,,,,,,,,,,,
Q115669458,Ghana studies,,,,,,,,,,,,,,,,
Q5593683,Grammatical Framework,,,,,,,,,,,,,,,,
Q9129,Greek,Q2042538|Q85380120,Hellenic|Southern European language,,,Q29448469|Q35497|Q107358|Q36387|Q36510|Q4400023,Latin or Greek word|Ancient Greek|Koine Greek|medieval Greek|Modern Greek|Mariupolitan Greek,,,sh85057151,,300389734,00041634n,ModernGreekLanguage,,,natural_language
Q972132,Greek epigraphy,Q1669589|Q16267481,classical archaeology|Greek studies,,,,,,,,481.1,,,GreekEpigraphy,,,
Q1089547,Greek literature,Q116476,Western literature,,,,,,,sh85057171,,,,,,,
Q64968842,Greek philology,Q495527|Q16267481,classical philology|Greek studies,,,,,,,,,,,,,,
Q16267481,Greek studies,Q495527,classical philology,Q495527|Q489119,classical philology|Hellenic studies,,,,4315324-0,sh85057184,880|480,,,,,,
Q12310624,Greenlandic and Arctic Studies,,,Q4532729,Eskimology,,,,,,,,,,,,
Q124645587,Hacker Cartography,Q5186702,critical cartography,,,,,,,,,,,,,,
Q107427,Halakha,Q670732,religious law,Q9268,Judaism,,,,4137294-3,sh85070287,296.18|296.1274,,,,,,
Q5684622,Hawaiian studies,Q7122791,Pacific studies,,,,,,,,,,,HawaiianStudies,,,
Q29980364,Hebrew Bible studies,Q794605,biblical studies,,,,,,,,,,,,,,
Q65048723,Hellenic Culture,,,,,,,,,,,,,,,,
Q489119,Hellenic studies,Q1377029,European studies,,,Q1669815|Q1089547|Q9129,modern Greek culture studies|Greek literature|Greek,,7620854-0,,,,15353378n,,,,
Q5862008,Hellenistic philology,Q40634,philology,,,,,,,,,,,,,,
Q136831498,Hermeneutic Metanoia,Q102686|Q9471,hermeneutics|epistemology,Q136831181,Epistemology of the Image,,,,,,,,,,,,
Q64688316,Hindi Language and Indian Culture,,,,,,,,,,,,,,,,
Q5766501,Hindu studies,Q34187,religious studies,,,,,,,,,,,HinduStudies,,,
Q23010571,"Hispanic-American, Puerto Rican, and Mexican-American/Chicano studies",Q1143546,cultural studies,,,,,,,,,,,,,,
Q137655696,History of French art,,,,,,,,,,,,,,,,
Q7798,History of ancient Greece,Q7794,history of Greece,,,,,,,,,,,,,,
Q138340308,History of consumption,Q1066186,study of history,,,,,,,,,,,,,,
Q491481,Hittitology,Q4752891,ancient Near Eastern studies,,,,,,4201446-3,,,,,,,,
Q1568255,Holocaust studies,Q42002,Jewish studies,,,,,,,,,,,,,,
Q109505011,Holodomor studies,Q491679|Q2515819,Ukrainian studies|genocide studies,,,,,,,,,,,,,,
Q5890329,Homeric scholarship,Q841090,classics,,,,,,,,,,,,,,
Q104628254,Hong Kong studies,Q476294|Q162817,oriental studies|East Asian studies,Q476294,oriental studies,,,,,,,,,,,,regional_language_variant
Q112914409,Horticultural production,Q48803|Q110231626,"horticulture|agricultural, veterinary and food sciences",,,,,,,,,,,,,,
Q65007547,Huarahi Māori,,,,,,,,,,,,,,,,
Q134564271,Human Resources Development,,,,,,,,,,,,,,,,
Q110467952,Human rights and justice issues (excl. law),Q538733,applied ethics,,,,,,,,,,,,,,
Q5938602,Human systems engineering,,,,,,,,,,,,,,,,
Q136334943,Human-AI Relationality (HAIR),Q207434|Q279438,human–computer interaction|philosophy of technology,,,Q136334815,Relational Co-Authorship (RCA) Method,,,,,,,,,,
Q5939515,Humanitarian engineering,,,,,,,,,,,,,,,,
Q133260951,Hungarian linguistics,Q855627|Q8162,Hungarian studies|linguistics,,,,,,,,,,,,,,
Q855627,Hungarian studies,Q928786|Q11790583,area studies|modern philology,Q897219,Finno-Ugric studies,,,,,,,,,HungarianStudies,,,
Q3143746,Hydrogeophysics,,,,,,,,,,,,,,,,
Q3738441,I Ching studies,Q5369632,Chinese Classical Studies,,,,,,,,,,,,,,
Q64943358,ICT innovation,,,,,,,,,,,,,,,,
Q35832005,Iberian studies,Q928786,area studies,,,,,,,,,,,,,,
Q113951766,Iberoamerican studies,Q928786,area studies,,,,,,,,,,,,,,
Q12823036,Ibora,,,,,,,,,,,,,,,,
Q56273774,Illyrian religion,Q29536,paganism,Q13041223,culture of ancient Illyria,,,,,,,,,,,,
Q136831245,Image Theory,Q35986|Q861716|Q165650,aesthetics|visual culture|media studies,,,Q136831181,Epistemology of the Image,,,,,,,,,,
Q2624098,Imbrium,,,Q386638,lunar geologic timescale,,,,,,,,,,,,
Q138340266,Imperial history,Q1066186,study of history,,,,,,,,,,,,,,
Q124610312,Inclusive Cartography,Q42515,cartography,,,,,,,,,,,,,,
Q376022,Indian philosophy,Q5891,philosophy,,,,,,,sh85100930,181.4,,,,,,regional_language_variant
Q61270168,Indigenous Australian culture,Q56355349,indigenous culture,Q113192749|Q2440952,"Aboriginal and Torres Strait Islander culture, language and history|culture of Australia",,,,,,,,,,,,
Q16150995,Indigenous health in Australia,Q189603,public health,Q22089870,health in Australia,,,,,sh2009113349,,,,,,,
Q111956099,Indigenous librarianship,Q856625,librarianship,,,,,,,,,,,,,,
Q113127911,Indigenous methodologies,Q108352346|Q185698,indigenous studies|methodology,,,,,,,,,,,,,,
Q113127851,"Indigenous studies culture, language and history",Q108352346,indigenous studies,,,Q105960891|Q97377644,history of indigenous peoples|indigenous linguistics,,,,,,,,,,
Q113127888,Indigenous studies health and wellbeing,Q108352346|Q843601,indigenous studies|health sciences,,,,,,,,,,,,,,
Q1413128,Indo-European studies,Q8162,linguistics,Q40634,philology,,,,4161557-8,sh85065705,,,03826562n,IndoEuropeanLinguistics,,,
Q625510,Indology,Q105397778,South Asia studies,,,,,,4161576-1,,491.1|891.1,,00567413n,Indology,,,
Q1661989,Industry 4.0,,,,,Q251212|Q1120057|Q1067099|Q11660|Q188961|Q858810|Q25112020|Q116757387|Q1571520|Q1282900|Q16856938|Q114693590|Q114688556|Q7544072,Internet of things|cyber-physical system|internetworking|artificial intelligence|decentralization|big data|smart manufacturing|Maintenance 4.0|vertical integration|horizontal integration|Smart Factory|Intelligent Process|intelligent machine|smart product,,,,,,,,,,
Q111325778,Information Technology and E-Business,,,,,,,,,,,,,,,,
Q110620325,"Information governance, policy and ethics",,,,,Q17056348|Q6031151|Q1662553,information governance|information policy|information ethics,,,,,,,,,,
Q109753123,Information systems planning,,,,,,,,,,,,,,,,
Q137184054,Institutional Rhythm Collapse,,,Q137183991,GHDP (Gross Human Dynamics Product),,,,,,,,,,,,
Q137184049,Institutional Time-Lag Crisis,,,Q137183991,GHDP (Gross Human Dynamics Product),,,,,,,,,,,,
Q110298626,Insurance studies,Q113141571,"banking, finance and investment studies",,,,,,,,,,,,,,
Q1665395,Integral yoga,Q9350,yoga,,,,,,,,,,,,,,
Q114693590,Intelligent Process,Q107307291,artificially intelligent entity,,,,,,,,,,,,,,
Q55586010,Inter-American Studies,,,,,,,,,,,,,,,,
Q27567821,International Chinese Education,,,,,,,,,,,,,,,,
Q126481638,International Media Computing,Q21198,computer science,Q875138|Q21198,HTW Berlin|computer science,,,,,,,,,,,,
Q19366771,International Relations,,,,,,,,,,,,,,,,
Q55659899,International Trade,Q26643,commerce,,,,,,,,,,,,,,
Q96758157,International and European Studies,Q5654877|Q1377029,international studies|European studies,,,,,,,,,,,,,,
Q113001577,International humanitarian and human rights law,,,,,Q381148|Q1147615,international humanitarian law|international human rights law,,,,,,,,,,
Q75,Internet,Q1068715,telecommunications network,,,,,977184,4308416-3,sh92002816,004.678|025.042|302.231|384.334,300265429,00024712n,Internet,,,
Q6056000,Internet linguistics,Q8162,linguistics,Q863590,internet culture,,,,,,,,,,,,
Q251212,Internet of things,Q11253473,smart device,,,Q10322548|Q18761595|Q2551624|Q379626|Q483639|Q62029351,MQTT|internet of things protocol|IPv6|Advanced Message Queuing Protocol|cloud computing|5G NR,,7713781-4,sh2013000266,658.514|338.064|004.678,,,,,,
Q6056054,Internet studies,Q42240,research,,,,,,,,,,,,,,
Q10273079,Interreligious studies,,,,,,,,,,,,,,,,
Q135050458,Intersectionality Studies,,,,,,,,,,,,,,,,
Q112933724,Invasive Species Ecology,Q7150,ecology,Q112933755,Biosecurity science and invasive species ecology,,,,,,,,,,,,
